URI	SCHULART	Type	Top Konzept	Bundesland	 exact	Bildungsgangniveau	Jahrgangsstufen/Schulstufen	NOTIZEN
ID	AL rdfs:label@de	TYPE SPLIT=,	I skos:topConceptOf	I von Bundesland	I skos:exactMatch	I hat Bildungsgangniveau SPLIT=,	I hat Jahrgangsstufe SPLIT=,	A skos:editorialNote
https://w3id.org/schulart/ST_0000000	Schularten (Sachsen-Anhalt)	skos:ConceptScheme		Sachsen-Anhalt				
https://w3id.org/schulart/ST_0000001	Grundschule	Schulart,skos:Concept	Schularten (Sachsen-Anhalt)	Sachsen-Anhalt	Grundschule (KIM-Schulart)	Grundschulniveau (ST)	jg1,jg2,jg3,jg4	
https://w3id.org/schulart/ST_0000002	Sekundarschule	Schulart,skos:Concept	Schularten (Sachsen-Anhalt)	Sachsen-Anhalt	Sekundarschule (KIM-Schulart)	Sekundarschulniveau (ST),Hauptschulabschlussbezogener Unterricht (ST),Realschulabschlussbezogener Unterricht (ST)	jg5,jg6,jg7,jg8,jg9,jg10	
https://w3id.org/schulart/ST_0000003	Gemeinschaftsschule	Schulart,skos:Concept	Schularten (Sachsen-Anhalt)	Sachsen-Anhalt	Gemeinschaftsschule (KIM-Schulart)	Sekundarschulniveau (ST),Hauptschulabschlussbezogener Unterricht (ST),Realschulabschlussbezogener Unterricht (ST),Gymnasialniveau Sek I (ST),Gymnasialniveau Sek II (ST)	jg5,jg6,jg7,jg8,jg9,jg10,jg11,jg12,jg13	
https://w3id.org/schulart/ST_0000004	Kooperative Gesamtschule	Schulart,skos:Concept	Schularten (Sachsen-Anhalt)	Sachsen-Anhalt	Gesamtschule (KIM-Schulart)	Sekundarschulniveau (ST),Hauptschulabschlussbezogener Unterricht (ST),Realschulabschlussbezogener Unterricht (ST),Gymnasialniveau Sek I (ST),Gymnasialniveau Sek II (ST)	jg5,jg6,jg7,jg8,jg9,jg10,jg11,jg12,jg13	
https://w3id.org/schulart/ST_0000005	Integrierte Gesamtschule	Schulart,skos:Concept	Schularten (Sachsen-Anhalt)	Sachsen-Anhalt	Gesamtschule (KIM-Schulart)	Sekundarschulniveau (ST),Hauptschulabschlussbezogener Unterricht (ST),Realschulabschlussbezogener Unterricht (ST),Gymnasialniveau Sek I (ST),Gymnasialniveau Sek II (ST)	jg5,jg6,jg7,jg8,jg9,jg10,jg11,jg12,jg13	
https://w3id.org/schulart/ST_0000006	Gymnasium	Schulart,skos:Concept	Schularten (Sachsen-Anhalt)	Sachsen-Anhalt	Gymnasium (KIM-Schulart)	Gymnasialniveau Sek I (ST),Gymnasialniveau Sek II (ST)	jg5,jg6,jg7,jg8,jg9,jg10,jg11,jg12,jg13	
